objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
3993,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=22,,2013 Statistical Yearbook of Vietnam = Nien Giam Thong Ke ,image/jpeg,,,,2013,,,,,,,,,,,,,,,,,
3994,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=23,,The Reality of Aid 2014 : An independent Review of Poverty Reduction and Development Assistance ,image/jpeg,,Tomlinson,,,,,,,,,,,,,,,,,,,
3995,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=24,,2015 APO Productivity Databook ,image/jpeg,,,,2015,,,,,,,,,,,,,,,,,
3997,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=25,,2015 Population Census of Japan: Results of Tabulation on Internal Migration ,image/jpeg,,,,2015,,,,,,,,,,,,,,,,,
3998,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=26,,The Philippine Nutirion Facts and Figures : Health-related millenium development goals (MDGs) Survey ,image/jpeg,,,,2016,,,,,,,,,,,,,,,,,
3999,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=27,,2016 APO Productivity Databook ,image/jpeg,,,,2016,,,,,,,,,,,,,,,,,
4000,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=28,,A Primer on Development in Tariff and Trade Policy ,image/jpeg,,,,2018,,,,,,,,,,,,,,,,,
4001,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=29,,Analysis of the President's Budget for 2002 : Accounting for New Modes of Financing the Fiscal Deficit ,image/jpeg,,Manasan,,,,,,,,,,,,,,,,,,,
4002,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=30,,Birth of a Think Tank : The Founding of PIDS ,image/jpeg,,Sicat,,,,,,,,,,,,,,,,,,,
4003,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=31,,Building Back Better : A Democratic Accountability Assessment of service Delivery After Typhoon Haiyan ,image/jpeg,,Edited by: Co,,,,,,,,,,,,,,,,,,,
4004,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=32,,Global Wealth in the Providence of Restoration ,image/jpeg,,Labasan,,,,,,,,,,,,,,,,,,,
4006,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=33,,I'd Like You to Know ,image/jpeg,,,,2015,,,,,,,,,,,,,,,,,
4007,https://psa-library.onstrike.com.ph/cgi-bin/koha/opac-image.pl?imagenumber=34,,Let's Talk Chabacano : A Conversation Guide to Real-Life Situations ,image/jpeg,,Escalante,,,,,,,,,,,,,,,,,,,
